country,2023,2022,2021,2020
Kostarika, 96 484, 102 207,103 723, 48 522
Kotdivuar, 272 158, 416 789,430 907, 307 905
Kuveyt, 583 190, 672 910,691 394, 556 146
Kuzey Kıbrıs Türk Cum.,2 387 643,2 118 367, 1 238 381, 859 850
Kuzey Makedonya, 647 387, 698 150,570 387,331
Kuzey Mariana Adaları,3,56,3, 415 894
Küba, 61 875, 37 344,28 854, 24 992
Laos, 5 637, 1 692,1 189, 1 922
Lesotho,230,144,276,408
Letonya, 433 228, 489 141,160 975, 104 716
Liberya, 412 821, 291 314,269 008, 177 704
Libya,3 256 690,2 840 774, 2 771 261,1 653 076
Liechtenstein, 2 517, 6 222,3 366, 1 473
Litvanya, 510 843, 559 214,364 537, 305 870
Lübnan,1 605 038,2 678 005, 1 694 517, 930 695
Lüksemburg, 185 955, 129 315,76 927, 97 613
Macaristan,1 617 182,1 597 186, 1 399 016,1 263 417
Madagaskar, 121 671, 78 487,65 807, 73 862
Makao, 1 689, 11 977,14 170, 3 556
Malavi, 5 095, 5 541,4 633, 2 847
Maldivler, 33 205, 28 755,47 451, 24 864
Malezya, 489 873, 478 254,445 166, 381 913
Mali, 110 931, 107 217,86 865, 69 552
Malta,1 216 068, 855 411,738 456, 432 449
Marşal Adaları, 302 577, 275 953,149 516, 332 385
Mauritius, 86 665, 101 663,90 152, 74 590
Mayotte, 8 897, 13 629,12 163, 8 722
Meksika,1 242 497,1 080 906,839 836, 538 583
Mısır,3 337 323,4 556 656, 4 513 693,3 136 160
Mikronezya,124,42,101,35
Moğolistan, 105 582, 95 848,69 687, 31 827
Moldova, 644 176, 662 731,453 079, 335 048
Montserrat,0,0,0,0
Moritanya, 169 891, 207 582,409 407, 119 731
Mozambik, 65 172, 84 037,122 538, 76 696
Myanmar, 13 089, 20 740,21 161, 52 060
Namibya, 10 739, 17 496,3 769, 4 248
Nauru,0,0,0,0
Nepal, 42 487, 29 259,96 239, 38 836
Nijer, 74 989, 134 517,78 183, 58 875
Nijerya, 666 252, 769 104,840 747, 610 882
Nikaragua, 27 955, 13 187,17 392, 12 167
Niue Adası,150,194,82,20
Norfolk Adası,0,,,11
Norveç, 988 827, 744 019,937 571, 733 346
Orta Afrika Cumhuriyeti, 4 577, 3 893,3 709, 2 995
Özbekistan,1 871 340,1 877 543, 1 841 623,1 154 082
Pakistan, 550 616, 818 767,773 084, 620 162
Palau, 30 072, 11 324,4 891, 1 850
Panama, 385 330, 359 625,304 856, 171 515
Papua Yeni Gine, 4 294, 3 209,2 942, 4 891
Paraguay, 44 991, 49 935,87 541, 52 314
Peru, 227 216, 420 518,577 646, 231 525
Polonya,5 951 061,5 417 452, 4 673 825,3 474 726
Portekiz,1 333 394,1 498 160, 1 496 766, 924 574
Romanya,6 948 460,6 947 484, 5 175 021,3 893 981
Ruanda, 69 732, 144 629,78 561, 27 479
Rusya Federasyonu,10 907 762,9 342 796, 5 774 392,4 506 681
Samoa,732,552,961,972
San Marino,887,330,391,90
Sao Tome ve Prinsipe, 6 375, 5 460,4 558, 2 628
Senegal, 424 196, 637 344,528 956, 361 220
Seyşeller, 21 544, 12 955,12 269, 17 914
Sırbistan,1 551 054,1 771 491, 1 484 954,1 018 011
Sierra Leone, 87 666, 157 788,134 366, 76 591
Singapur, 755 305, 800 103,888 880, 343 498
Slovakya, 838 047, 759 322,663 828, 549 927
Slovenya,2 039 736,1 771 777, 1 797 077,1 641 449
Solomon Adaları,309,87,112,180
Somali, 424 944, 386 309,354 917, 271 700
Sri Lanka, 133 352, 156 402,93 865, 77 476
St. Kitts ve Nevis, 9 639, 21 503,3 781, 2 563
St. Lucia, 3 766, 1 560,2 274, 2 298
St. Vincent ve Grenadines, 12 242, 17 570,6 370, 17 566
Sudan, 347 778, 447 146,278 754, 375 462
Surinam, 38 867, 40 520,30 118, 22 066
Suriye,2 036 413,2 234 148, 2 108 339,1 595 593
Suudi Arabistan,2 618 183,1 046 453,265 400,2 505 020
Şili, 304 621, 511 273,627 322, 280 421
Tacikistan, 406 050, 388 676,258 354, 173 675
Tanzanya, 310 891, 317 720,253 975, 200 347
Tayland, 280 821, 282 268,236 224, 184 011
Tayvan, 195 761, 225 291,253 583, 235 903
Togo, 316 600, 294 696,119 523, 141 681
Trinidad ve Tobago, 83 915, 116 160,96 558, 76 007
Tunus,1 220 256,1 550 366, 1 376 258, 928 098
Tuvalu,413,581,1 217,279
Türk ve Caicos Ad., 1 393, 2 063,1 126, 1 012
Türkmenistan,1 001 251,1 099 834,984 446, 786 952
Uganda, 52 001, 64 081,59 608, 53 836
Ukrayna,3 442 034,3 059 409, 2 900 545,2 090 327
Umman, 411 904, 465 413,498 107, 525 283
Uruguay, 156 435, 134 593,115 427, 51 567
Ürdün, 819 931, 966 075,780 811, 585 367
Vallis ve Futuna,144,50,65,604
Vanuatu, 10 614, 7 096,7 133, 3 077
Venezuela, 365 439, 366 441,299 264, 235 991
Vietnam, 425 917, 343 763,336 664, 244 321
Yemen, 896 645,1 087 474, 1 097 795, 834 435
Yeni Kaledonya, 13 849, 12 178,8 664, 8 044
Yeni Zelanda, 122 959, 118 785,128 003, 104 879
Yunanistan,4 171 506,3 302 681, 3 118 900,1 799 836
Zambia, 31 517, 27 599,20 094, 20 911
Zimbabve, 23 568, 19 921,14 731, 15 347
